Date,Open,High,Low,Close,Volume
2022-03-11,355.95,356.85,353.26,355.31,182548310
2022-03-14,354.72,356.48,352.82,354.61,163912346
2022-03-15,352.34,353.9,350.38,351.03,149108189
2022-03-16,354.88,356.29,351.97,356.09,125092760
2022-03-17,362.39,364.18,361.36,361.46,172536469
2022-03-18,361.16,362.78,359.6,362.33,155321051
2022-03-21,363.81,363.86,358.41,358.77,117142394
2022-03-22,358.76,362.11,358.61,361.66,120703024
2022-03-23,364.06,366.4,362.89,364.84,137431069
2022-03-24,361.83,363.5,360.4,363.38,149348495
2022-03-25,364.76,364.92,361.34,362.06,119074647
2022-03-28,360.63,363.25,358.7,362.06,136535025
2022-03-29,364.18,365.56,362.27,363.77,132695450
2022-03-30,366.17,366.82,363.64,364.5,141643855
2022-03-31,364.1,367.01,363.94,365.61,388609487
2022-04-01,363.97,364.1,361.54,363.19,446847689
2022-04-04,361.85,365.08,360.69,364.94,171554087
2022-04-05,366.08,366.67,363.67,364.74,244226348
2022-04-06,362.04,362.96,360.52,361.01,176510187
2022-04-07,358.43,358.92,355.37,355.73,193937391
2022-04-08,356.86,357.62,354.27,356.01,166111896
2022-04-11,354.47,357.73,353.78,355.78,131522527
2022-04-12,353.51,354.83,351.37,352.32,129717478
2022-04-13,353.83,359.43,353.3,359.0,177428230
2022-04-14,359.23,359.29,356.17,357.38,159155308
2022-04-15,354.35,355.1,352.63,353.84,142642668
2022-04-18,352.19,354.87,351.46,353.63,110996402
2022-04-19,355.77,358.53,355.29,357.36,130216350
2022-04-20,357.14,358.28,354.93,357.52,148872727
2022-04-21,358.33,360.74,358.24,359.02,148564837
2022-04-22,355.54,356.08,353.64,355.43,214761534
2022-04-25,351.36,352.26,348.91,348.98,139465955
2022-04-26,351.33,352.2,350.38,350.67,122916877
2022-04-27,346.42,346.78,343.76,346.21,146757175
2022-04-28,348.61,350.16,346.02,350.16,164684493
2022-04-29,350.43,355.34,349.73,355.08,182270799
2022-05-02,351.31,354.53,350.94,354.02,131468536
2022-05-03,354.28,356.45,353.12,353.32,132700189
2022-05-04,354.85,356.05,352.27,353.85,279177321
2022-05-06,350.26,350.26,347.98,349.0,622950942
2022-05-09,347.71,349.4,344.84,345.41,256536775
2022-05-10,343.22,344.73,338.46,343.67,249371132
2022-05-11,342.22,344.45,341.22,343.44,184518723
2022-05-12,340.14,343.03,337.65,337.94,262823514
2022-05-13,340.49,345.82,339.72,345.5,187355684
2022-05-16,348.13,348.88,343.52,343.94,231878012
2022-05-17,345.14,347.91,345.13,347.53,171093883
2022-05-18,349.62,351.2,347.15,348.34,166291214
2022-05-19,341.07,344.1,340.55,343.24,196527465
2022-05-20,345.15,349.68,344.89,349.29,133213782
2022-05-23,351.16,351.41,348.48,350.34,183164939
2022-05-24,349.02,349.79,344.08,344.08,150996891
2022-05-25,346.34,347.6,343.51,345.6,125139646
2022-05-26,345.54,349.03,342.65,344.26,126445367
2022-05-27,348.42,349.11,347.15,348.04,133072930
2022-05-30,351.53,352.85,350.07,352.49,151012831
2022-05-31,351.79,354.72,350.01,354.54,266678105
2022-06-02,352.29,352.81,349.55,350.51,196091386
2022-06-03,353.47,353.93,351.1,352.01,134646639
2022-06-07,350.04,350.53,345.02,345.67,135311555
2022-06-08,346.46,348.11,345.56,346.22,123302092
2022-06-09,345.35,346.82,343.69,346.62,191391854
2022-06-10,342.32,343.25,340.66,341.89,136208016
2022-06-13,335.76,335.97,329.88,329.88,163805809
2022-06-14,325.68,329.27,323.36,328.23,174250564
2022-06-15,327.7,328.3,320.29,322.21,159365415
2022-06-16,326.72,328.84,321.54,322.25,138751851
2022-06-17,316.36,320.71,314.79,320.09,197274709
2022-06-20,321.46,321.62,311.71,314.44,151134778
2022-06-21,315.95,318.74,313.66,316.38,120058757
2022-06-22,317.47,317.63,308.08,308.08,161699987
2022-06-23,308.81,310.94,304.13,305.45,197731766
2022-06-24,307.47,313.42,306.27,312.07,137827106
2022-06-27,314.31,319.08,311.85,316.2,136483261
2022-06-28,316.65,319.11,315.19,319.11,117270107
2022-06-29,314.33,315.16,312.52,312.86,132702473
2022-06-30,311.2,311.63,307.2,307.2,143728581
2022-07-01,308.72,310.55,301.95,304.02,136341014
2022-07-04,304.46,305.82,300.82,304.01,128355599
2022-07-05,307.15,309.99,305.35,309.03,110061662
2022-07-06,307.14,307.9,302.06,302.28,156255459
2022-07-07,304.3,310.07,304.2,308.31,126308391
2022-07-08,310.73,313.01,310.02,310.15,108520280
2022-07-11,311.05,311.86,307.97,308.29,94922551
2022-07-12,306.94,307.56,303.32,305.03,107070512
2022-07-13,306.24,308.62,304.99,306.59,110889577
2022-07-14,304.7,307.93,303.65,305.35,115966729
